"1987 annual salary on opening day in thousands of  dollars"	"player's team at the end of in 1986"	"player in National League at the end of 1986"	"number of wins in 1986"	"number of losses in 1986"	"earned run average in 1986"	"number of games in 1986"	"number of innings pitched in 1986"	"number of saves in 1986"	"number of years in the major leagues"	"number of wins during his career"	"number of losses during his career"	"earned run average during his career"	"number of games during his career"	"number of innings pitched during his career"	"number of saves during his career"	"player in National League at the beginning of 1987"	"player's team at the beginning of 1987"
625	"Bal."	0	6	7	2.98	66	81.2	34	9	61	54	3.74	325	956.2	75	0	"Bal."
350	"Atl."	1	5	12	4.01	44	155	0	4	20	20	3.99	175	411	12	1	"Atl."
195	"N.Y."	1	10	7	3.88	28	141.2	0	2	20	14	3.58	49	264	0	1	"N.Y."
1200	"Chi."	0	7	2	3.82	22	113	0	8	53	58	3.65	367	793.2	75	0	"Chi."
1270	"Oak."	0	12	7	3.82	28	155.1	1	11	122	108	3.49	369	2014	9	0	"Oak."
80	"Atl."	1	7	3	2.5	61	68.1	7	1	7	3	2.5	61	68.1	7	1	"Atl."
300	"Min."	0	6	10	4.08	60	97	10	4	19	28	3.97	202	374	19	0	"Min."
80	"Cle."	0	10	10	4.95	62	112.2	7	1	10	10	4.95	62	112.2	7	0	"Cle."
75	"K.C."	0	8	9	4.61	24	121	0	1	8	9	4.61	24	121	0	0	"Sea."
930	"Chi."	0	10	14	3.54	28	165.1	0	10	101	117	4.03	300	1832.1	0	0	"Chi."
825	"Phi."	1	8	6	3.39	68	90.1	29	6	42	45	3.27	294	662.1	70	1	"Phi."
62.5	"Bal."	0	1	2	5.01	4	23.1	0	2	1	2	4.97	8	29	0	0	"Bal."
600	"K.C."	0	5	10	3.2	56	121	9	6	46	50	3.71	172	834.1	9	0	"K.C."
1150	"Min."	0	17	14	4.01	36	271.2	0	17	229	197	3.08	541	3987.1	0	0	"Min."
800	"Bal."	0	14	12	4.7	33	218.1	0	7	63	49	3.6	136	900.2	0	0	"Bal."
287.5	"Cin."	1	14	13	3.81	39	243.1	0	3	35	22	3.58	80	528	0	1	"Cin."
325	"Cle."	0	2	4	4.08	51	57.1	20	6	7	16	3.6	138	200	43	0	"Cle."
62.5	"Det."	0	3	6	3.88	34	55.2	3	14	83	68	3.51	693	1218.2	126	1	"Mon."
800	"Cal."	0	10	2	2.55	16	91.2	0	12	141	89	3.12	350	2016.2	15	0	"Cal."
160	"Cle."	0	16	12	3.57	36	252.1	0	3	22	18	3.68	54	340.1	0	0	"Cle."
150	"Chi."	0	9	14	5.1	32	176.1	0	22	323	229	3.11	705	5055	1	0	"Cle."
245	"Phi."	1	10	5	3.22	50	134.1	1	4	19	10	2.91	133	235	9	1	"Phi."
115	"Tor."	0	9	4	4.15	34	145.1	1	2	9	6	4.2	38	152	1	0	"Tor."
850	"Tor."	0	14	14	3.94	34	219.1	0	10	102	116	4.13	279	1768	0	0	"Tor."
625	"Mil."	0	5	5	2.2	59	73.2	16	8	62	44	3.8	394	689.1	77	0	"Mil."
500	"Bos."	0	24	4	2.48	33	254	0	3	40	13	3.15	69	485.2	0	0	"Bos."
115	"Tex."	0	12	14	4.23	32	202.1	0	2	13	14	4.36	37	212.2	0	0	"Tex."
218	"Chi."	0	11	11	3.88	27	162.1	0	4	33	21	3.91	90	457.2	0	1	"Phi."
600	"St.L."	1	12	13	2.9	32	220	0	4	42	39	3.19	108	700.1	0	1	"St.L."
1050	"N.Y."	1	15	6	2.81	34	237	0	4	44	24	3.12	108	726	0	1	"N.Y."
715	"Hou."	1	11	10	3.17	39	184.2	0	9	72	78	3.55	295	1240.2	17	1	"Hou."
62.5	"Chi."	0	4	5	4.7	19	105.1	0	2	7	8	4.48	31	176.2	0	0	"Chi."
415	"S.F."	1	5	7	2.99	67	84.1	4	6	22	44	4.36	221	534.1	11	1	"S.F."
725	"Chi."	1	2	8	8.59	53	58.2	2	9	46	52	3.94	447	692.2	130	1	"Chi."
605	"Bal."	0	9	12	3.62	25	154	0	5	54	40	3.65	154	855	1	1	"S.D."
290	"Atl."	1	6	6	2.98	57	99.2	3	4	16	12	3.72	176	270.2	7	1	"Atl."
110	"Hou."	1	12	5	3.25	26	144	0	3	12	6	3.56	30	154	0	1	"Hou."
155	"Bal."	0	11	13	4.58	35	202.1	0	3	19	18	4.17	71	377.1	1	0	"Bal."
1000	"Chi."	0	10	17	5.48	34	197	0	8	83	76	4.01	206	1294.2	0	0	"Chi."
85	"N.Y."	0	7	8	4.1	27	131.2	0	1	7	8	4.1	27	131.2	0	1	"Pit."
575	"S.D."	1	9	11	3.07	26	161.1	0	5	50	43	3.06	169	821.1	10	1	"S.D."
783.333	"Chi."	1	6	11	4.57	33	201	0	12	151	128	3.67	376	2496	3	0	"Oak."
165	"Tor."	0	14	6	1.72	69	157	10	2	14	9	2.45	76	195	10	0	"Tor."
150	"K.C."	0	8	4	3.13	56	109.1	8	3	13	16	3.76	103	263	10	0	"K.C."
308	"N.Y."	1	16	6	3.52	32	204.1	1	4	31	22	3.29	75	470.2	1	1	"N.Y."
625	"Bal."	0	0	0	4.5	1	4	0	2	1	1	3.32	4	19	0	0	"Bal."
750	"St.L."	1	14	10	3.25	33	230	0	13	143	116	3.62	392	2371.1	3	1	"St.L."
300	"Cin."	1	6	6	2.94	74	101	29	3	24	11	2.58	195	279.1	45	1	"Cin."
750	"Atl."	1	5	5	2.54	61	78	24	17	88	99	3.29	843	1393	194	1	"Atl."
290	"S.F."	1	13	9	3.11	53	173.2	10	5	26	20	3.18	154	360	23	1	"S.F."
1500	"N.Y."	1	17	6	2.84	33	250	0	3	58	19	2.28	99	744.2	0	1	"N.Y."
1000	"S.D."	1	5	7	4.45	45	64.2	21	15	101	89	2.87	725	1482	278	1	"S.D."
420	"Phi."	1	12	12	4.02	37	241.2	0	4	39	36	3.79	136	672.1	1	1	"Phi."
405	"Pit."	1	5	2	3.35	52	78	4	5	13	17	3.06	201	355.2	20	0	"N.Y."
450	"K.C."	0	12	6	3.64	35	180.2	0	3	36	30	3.92	93	547	0	0	"K.C."
900	"Cin."	1	15	12	3.38	37	244.2	0	8	87	73	3.43	213	1430.2	0	1	"Cin."
107.5	"Tex."	0	9	15	4.54	29	172.1	0	2	12	17	4.26	34	205	0	0	"Tex."
620	"Tex."	0	10	8	2.83	73	111.1	20	6	22	25	3.42	216	440	36	0	"Tex."
535	"S.D."	1	10	8	4.3	37	209.1	0	5	43	37	3.8	142	767.1	0	1	"S.D."
400	"Min."	0	7	15	4.08	33	198.2	1	5	39	56	4.64	154	785.1	8	0	"Min."
291	"Tor."	0	9	5	3.35	63	91.1	27	5	15	9	3.34	132	191.1	43	0	"Tor."
1060	"Det."	0	8	7	3.55	64	88.2	24	10	59	52	3.3	604	897	114	0	"Det."
800	"L.A."	1	14	14	3.85	35	231.1	0	4	44	25	2.85	124	668.2	3	1	"L.A."
300	"Mil."	0	20	11	2.79	34	248.1	0	2	35	19	3.3	66	460.2	0	0	"Mil."
805	"L.A."	1	11	9	3.32	32	171	0	10	87	105	3.76	275	1562.2	1	1	"L.A."
410	"St.L."	1	4	3	2.24	42	100.1	3	3	16	9	2.91	128	315.2	5	1	"St.L."
700	"Tex."	0	17	10	3.79	33	230.1	0	17	131	115	3.55	609	2167.2	61	0	"Tex."
95	"Oak."	0	3	6	3.38	38	53.1	16	7	26	26	3.97	202	390	52	0	"Oak."
170	"L.A."	1	6	12	3.87	62	97.2	12	3	15	24	3.71	150	235	30	1	"L.A."
305	"Phi."	1	7	10	4.94	33	144	0	4	32	42	3.98	127	680	0	0	"N.Y."
125	"Sea."	0	3	4	3.79	46	97.1	5	4	9	8	3.98	106	221.2	8	0	"Sea."
700	"Bos."	0	13	8	2.99	25	174.1	0	7	55	54	4.31	171	1004	0	0	"Bos."
225	"K.C."	0	11	12	3.2	32	185.2	1	4	28	31	3.54	83	488.2	1	0	"K.C."
470	"Chi."	0	5	4	5.25	49	58.1	14	7	20	20	3.67	236	353	63	0	"Chi."
135	"Tor."	0	13	9	4.42	33	175	0	2	17	13	4.32	48	260.2	0	0	"Tor."
75	"Pit."	1	3	4	2.89	26	37.1	3	1	3	4	2.89	26	37.1	3	1	"Pit."
110.037	"Hou."	1	11	2	2.59	61	93.2	7	2	15	4	3.07	72	138	7	1	"Hou."
875	"Tor."	0	14	11	3.57	36	232	0	3	32	22	3.46	134	506.2	10	0	"Tor."
80	"Det."	0	11	4	3.51	33	138.1	3	1	11	4	3.51	33	138.1	3	0	"Det."
90	"Pit."	1	6	8	4.03	20	114	0	2	7	11	4.63	27	142	0	1	"Pit."
1000	"Hou."	1	17	12	3.14	40	258	0	11	114	118	3.44	338	2145.2	1	1	"Hou."
618	"S.F."	1	20	9	3.05	34	245	0	11	108	104	3.84	311	1859.1	1	1	"S.F."
300	"S.F."	1	10	13	3.57	37	204.1	0	9	61	67	4.09	281	1179	6	1	"S.F."
370	"Sea."	0	12	14	4.85	37	239.1	0	3	36	38	4.43	96	591	0	0	"Sea."
170	"Mil."	0	12	12	4.21	33	188.1	0	5	17	20	4.09	61	288	0	1	"L.A."
500	"S.D."	1	9	8	3.09	83	107.2	4	4	22	22	2.89	261	385.2	17	1	"S.D."
850	"K.C."	0	14	11	4.09	35	231.1	0	7	58	44	3.77	173	928.1	2	0	"K.C."
300	"Hou."	1	3	3	3.46	45	78	7	10	60	35	3.52	433	872.1	92	1	"Hou."
550	"Chi."	1	7	5	3.73	24	101.1	0	7	45	45	3.82	190	829.1	4	1	"Chi."
662.5	"Atl."	1	14	18	4.88	39	237.2	0	8	61	59	3.85	216	1084	2	1	"Atl."
280	"Tex."	0	7	3	4.33	27	135	0	5	25	35	4.31	110	532	0	0	"Tex."
100	"St.L."	1	11	8	3.65	23	145.1	0	1	11	8	3.65	23	145.1	0	1	"St.L."
232	"Cal."	0	17	10	3.36	34	246.1	0	2	29	22	3.94	64	436	0	0	"Cal."
550	"Mon."	1	4	6	3.19	65	79	6	12	48	48	3.86	424	924.1	41	1	"Mon."
125	"S.D."	1	10	10	2.78	70	136	5	2	10	12	2.68	91	171	10	1	"S.D."
292.5	"Mon."	1	10	5	2.65	48	142.2	2	6	20	23	3.44	142	455.1	5	1	"Mon."
950	"Bal."	0	11	15	4.52	34	203	0	11	136	98	3.84	326	2038.2	5	0	"Bal."
750	"S.F."	1	4	4	3.93	48	68.2	5	12	44	52	3.22	537	847	124	1	"S.F."
92.5	"Tex."	0	2	4	2.51	58	79	7	1	2	4	2.51	58	79	7	0	"Tex."
1000	"Cal."	0	4	5	2.97	49	72.2	21	11	36	36	3.64	375	596.1	80	0	"Cal."
500	"Sea."	0	11	13	4.3	38	266	1	5	48	62	4.44	157	997.1	1	0	"Sea."
170	"Sea."	0	11	17	4.53	37	216.1	1	6	21	45	4.91	101	507.1	1	0	"Sea."
1850	"Det."	0	21	8	3.27	35	267	0	10	144	94	3.58	302	2123.1	0	0	"Det."
70	"Chi."	1	7	4	5.05	16	87.1	0	1	7	4	5.05	16	87.1	0	1	"Chi."
350	"Chi."	0	6	6	3.85	54	114.2	6	6	28	34	4.55	160	528.2	9	0	"Oak."
725	"L.A."	1	6	6	3.71	60	80	11	6	29	28	2.76	295	424	63	1	"L.A."
775	"N.Y."	0	9	10	4.87	25	125.2	0	20	213	190	3.5	670	3426.1	16	0	"N.Y."
500	"Cle."	0	11	11	4.32	34	210.1	0	23	311	261	3.27	838	5264.2	30	0	"Cle."
115	"Mil."	0	11	12	4.92	35	184.2	0	1	11	12	4.92	35	184.2	0	0	"Mil."
325	"Bos."	0	10	12	5.38	26	159	0	4	31	31	4.35	83	519.2	0	0	"Bos."
625	"N.Y."	1	18	5	2.57	32	217.1	0	7	62	44	3.83	172	935.2	1	1	"N.Y."
100	"Det."	0	3	7	4.33	37	122.2	2	3	10	13	3.82	69	235.2	3	1	"Atl."
925	"N.Y."	1	8	6	2.33	58	81	21	7	44	38	2.48	314	518.1	91	1	"N.Y."
725	"Atl."	1	11	10	3.65	35	209.2	0	7	49	36	3.36	157	787.1	2	1	"Atl."
975	"Det."	0	5	10	4.66	20	116	0	8	98	74	3.58	227	1504.1	0	0	"Det."
140	"Mil."	0	10	7	2.97	51	91	14	1	10	7	2.97	51	91	14	0	"Mil."
75	"Oak."	0	4	7	5.31	26	120.1	0	1	4	7	5.31	26	120.1	0	0	"Oak."
85	"Min."	0	6	10	4.31	27	112.2	1	2	7	13	4.53	33	137	1	0	"Min."
500	"Cin."	1	10	6	3.7	56	129	1	6	34	29	3.72	264	476.1	41	1	"Cin."
875	"K.C."	0	3	7	2.77	62	81.1	12	8	47	42	2.51	506	845.1	229	0	"K.C."
175	"N.Y."	0	18	6	3.88	31	202	0	4	30	17	4.06	81	465	0	0	"N.Y."
800	"Phi."	1	11	7	3.54	23	157.2	0	9	81	79	3.8	374	1298.1	40	1	"Phi."
825	"Mon."	1	7	9	3.94	62	89	35	8	42	46	2.8	456	666	162	0	"Min."
750	"Pit."	1	9	16	3.96	35	215.2	0	14	162	155	3.43	436	2771.2	4	1	"Pit."
575	"Pit."	1	15	12	2.84	34	253.2	0	13	121	97	3.48	333	2118	1	0	"N.Y."
800	"N.Y."	0	8	8	2.45	74	106.2	46	7	58	44	3.01	294	832	107	0	"N.Y."
110	"Oak."	0	9	11	4.65	39	193.2	1	3	17	23	4.45	75	319.2	3	0	"Oak."
620	"Pit."	1	3	4	3.38	50	69.1	14	9	59	63	3.85	301	1137	31	1	"Pit."
190	"S.F."	1	6	3	3.36	64	104.1	8	3	13	18	4.15	106	288.1	8	1	"S.F."
100	"Phi."	1	9	4	2.46	21	146.1	0	1	9	4	2.46	21	146.1	0	1	"Phi."
1000	"Hou."	1	12	8	3.34	30	178	0	20	253	226	3.15	611	4115.2	3	1	"Hou."
740	"K.C."	0	7	12	4.15	30	156	0	3	37	29	3.41	100	549	1	0	"K.C."
360	"Bos."	0	2	0	4.84	53	44.2	12	10	35	32	2.79	414	590.2	84	0	"Bos."
866.667	"Chi."	1	9	11	4.19	37	169.2	1	9	78	69	3.4	229	1313.2	3	1	"Chi."
150	"Bos."	0	4	2	1.41	25	51	9	3	6	5	4.28	40	94.2	9	0	"Bos."
375	"Chi."	0	3	6	3.31	49	92.1	8	6	23	28	3.18	221	436.1	34	0	"Bal."
425	"Cle."	0	14	7	4.54	34	206	0	6	45	38	4.46	144	746.1	1	0	"Cle."
666.667	"Hou."	1	18	10	2.22	37	275.1	0	8	65	62	3.7	212	1160	3	1	"Hou."
70	"Mon."	1	5	5	3.55	17	91.1	0	2	5	7	4.27	24	111.2	0	1	"Mon."
77.5	"Bos."	0	3	7	4.94	14	82	0	2	5	7	4.66	18	104.1	0	0	"Bos."
500	"N.Y."	0	0	4	5.04	39	105.1	3	10	66	94	3.75	419	1390.1	18	0	"N.Y."
787.5	"S.D."	1	9	5	2.97	24	136.1	0	6	62	46	3.3	188	949.2	6	1	"S.D."
400	"Det."	0	4	6	5.08	36	113.1	2	16	151	158	4.03	496	2683.1	14	0	"Oak."
650	"Hou."	1	4	7	2.73	54	56	33	7	38	29	2.61	361	526.2	100	1	"Hou."
820	"Chi."	1	9	9	3.09	66	90.1	31	7	36	41	2.89	396	598.1	144	1	"Chi."
150	"Atl."	1	8	16	4.05	38	204.2	1	3	18	26	3.85	83	371.2	1	1	"Atl."
540	"Min."	0	13	14	4.77	34	198	0	5	56	59	4.19	148	977	0	0	"Min."
1200	"Cin."	1	5	10	4.71	19	105	0	10	94	83	3.37	277	1611.1	4	1	"Cin."
1075	"Bos."	0	6	6	4.37	66	82.1	16	10	100	76	3.45	503	1374	123	0	"Bos."
500	"Oak."	0	9	5	3.95	37	161.2	0	7	39	40	3.96	247	766	19	0	"Oak."
850	"Tor."	0	7	12	4.74	37	205	1	8	102	92	3.34	259	1859.1	1	0	"Tor."
1800	"Chi."	1	5	14	4.64	28	176.2	0	10	86	68	3.84	251	1416.2	6	1	"Chi."
550	"Cal."	0	15	11	3.74	34	207	0	21	310	239	3.2	723	5001.1	5	0	"Cal."
662.5	"Det."	0	12	9	4.16	32	188.1	0	14	159	153	3.4	408	2759.1	0	0	"Det."
800	"Phi."	1	11	5	2.54	73	110	4	13	85	76	2.69	853	1199	176	1	"Phi."
600	"Det."	0	15	12	4.56	34	217.1	0	5	49	45	3.89	125	816	0	0	"Det."
85	"N.Y."	0	9	5	3.31	23	130.1	0	1	9	5	3.31	23	130.1	0	0	"N.Y."
370	"Det."	0	7	8	4.56	42	122.1	3	4	35	30	3.5	131	554.2	5	0	"Det."
160	"Mon."	1	7	9	3.97	35	190.1	0	3	23	27	3.73	84	509	0	1	"Mon."
890	"Chi."	1	5	7	4.75	37	161	0	9	74	75	3.94	242	1294.1	4	1	"Chi."
1050	"St.L."	1	13	7	2.92	30	219	0	8	85	58	3.26	204	1342.2	1	1	"St.L."
830	"Min."	0	16	13	4.51	37	245.2	0	5	63	64	4.38	165	1090	0	0	"Min."
285	"Pit."	1	7	8	3.75	44	141.2	2	7	33	32	4.35	127	573.2	2	1	"Pit."
80	"Mil."	0	5	12	5.13	35	198.1	0	2	7	12	5	38	216	0	0	"Mil."
120	"Tex."	0	8	6	3.58	80	98	8	1	8	6	3.58	80	98	8	0	"Tex."
140	"Pit."	1	3	5	3.58	50	88	3	4	7	11	4.47	96	193.1	4	0	"Chi."
92.5	"Tex."	0	11	9	5.48	31	157.2	0	1	11	9	5.48	31	157.2	0	0	"Tex."
150	"St.L."	1	9	10	2.08	74	103.2	36	2	12	10	2.23	91	125.1	41	1	"St.L."
145	"Mon."	1	13	12	3.53	33	219	0	2	17	15	3.25	47	296	0	1	"Mon."
150	"Oak."	0	13	9	3.45	29	198	0	4	22	18	4.43	76	361.2	0	0	"Oak."
350	"Sea."	0	8	6	3.82	65	103.2	13	4	37	48	4.35	157	639	14	1	"L.A."
185	"Cin."	1	10	3	3.24	70	116.2	14	3	18	12	3.47	115	264.2	15	1	"Cin."
1850	"L.A."	1	21	11	3.14	34	269.1	0	7	99	68	2.94	210	1554.2	1	1	"L.A."
837.5	"L.A."	1	7	13	3.28	33	235.2	0	9	100	77	3.31	257	1568.1	8	1	"L.A."
180	"N.Y."	0	9	5	4.93	62	96.2	6	2	13	9	3.65	117	195	20	1	"Pit."
295	"Oak."	0	5	8	4.03	16	91.2	0	5	38	40	4.59	121	629.1	2	0	"Oak."
